t,q_1,q_2,q_3,q_4,P_theta_x,P_theta_y,P_theta_z,P_beta_x,P_beta_y,P_beta_z,q_true_1,q_true_2,q_true_3,q_true_4,b_x,b_y,b_z,b_true_x,b_true_y,b_true_z
1.500000000000000000e+00,1.506058823324134266e-01,-3.447216364912971710e-03,1.827957428392916039e-03,9.885861841427122654e-01,2.764861420655076617e-05,2.697333664899522105e-05,2.047842981107851585e-05,4.685078330272816140e-05,4.677912436142785379e-05,4.418514634277129340e-05,1.494381200000000076e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.887710800000000244e-01,-2.523306255266917313e-03,-9.692425985797298998e-03,-2.817008093832525269e-03,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
1.550000000000000044e+00,1.570452617427511577e-01,-3.930686153570010083e-03,1.822664962213308695e-03,9.875819021037944845e-01,2.758733867934263958e-05,2.687274971914937495e-05,2.048840219833544530e-05,4.575315628126366721e-05,4.567996638598240751e-05,4.321369014988679170e-05,1.543800899999999976e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.880115299999999712e-01,-4.081003704878729751e-03,-8.897116043811383393e-03,-2.683156307399089599e-03,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
1.600000000000000089e+00,1.646024901847660260e-01,-3.082300240417959469e-03,2.027672384105041505e-03,9.863530849522927912e-01,2.752838394785573202e-05,2.676391163282740163e-05,2.051033570391620883e-05,4.470577030503591670e-05,4.463001487764719426e-05,4.228573892562026226e-05,1.593181899999999984e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.872272899999999796e-01,-6.294678810438637806e-03,-9.330458778352482968e-03,-2.380539280501100304e-03,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
1.649999999999999911e+00,1.690224752445228240e-01,-1.997008050142750398e-03,2.997401663519848238e-03,9.856056160576247560e-01,2.747201789645930896e-05,2.664922737326700918e-05,2.054130200622506007e-05,4.370540577954105406e-05,4.362599199578787135e-05,4.139854833623978923e-05,1.642523200000000072e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.864183600000000496e-01,-5.949620830866678492e-03,-1.019100034135606188e-02,-3.845030612280291721e-03,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
1.699999999999999956e+00,1.752953253406965006e-01,5.970471762414987895e-05,3.654336587245308587e-03,9.845091117776172407e-01,2.741766761702711674e-05,2.652261980519076423e-05,2.058804368649580008e-05,4.274900495189985902e-05,4.266725384880688701e-05,4.054752814768519616e-05,1.691823399999999866e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.855847699999999989e-01,-5.278753106033600914e-03,-1.135366762027620498e-02,-3.293005475893613469e-03,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
1.750000000000000000e+00,1.796367732952363627e-01,7.512537430222570147e-04,4.447355039611431381e-03,9.837226673870238525e-01,2.736559537771164982e-05,2.642249468414418836e-05,2.061140670997903564e-05,4.183383758927366607e-05,4.175045152878349768e-05,3.973081089298030692e-05,1.741081200000000051e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.847265400000000390e-01,-4.793446510566761430e-03,-1.080783679878126631e-02,-3.039149343067463430e-03,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
1.800000000000000044e+00,1.872836863985545830e-01,7.879642672530860824e-05,1.999819675890703117e-03,9.823038304523479258e-01,2.731549564335879554e-05,2.630784378419117315e-05,2.065256675205809708e-05,4.095731528446106288e-05,4.087265920037795651e-05,3.894673670094956193e-05,1.790295600000000042e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.838436999999999877e-01,-5.429461000660550617e-03,-9.306938483155438244e-03,-1.777308156375798608e-03,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
1.850000000000000089e+00,1.911122281099787157e-01,-3.756436917283856227e-03,8.336035388681583549e-04,9.815606504713123570e-01,2.726761363354605360e-05,2.619896759370807029e-05,2.069047395988002363e-05,4.011709195739963728e-05,4.003037973428693073e-05,3.819430650361944191e-05,1.839465200000000022e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.829362499999999558e-01,-3.906819734946655361e-03,-8.145089352757123313e-03,-1.106666863214637430e-03,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
1.899999999999999911e+00,1.936683810312410103e-01,2.316316946662118337e-04,-1.678226516263588630e-04,9.810670091135740289e-01,2.722153544982037631e-05,2.612562420402948641e-05,2.069577101868906027e-05,3.931094158663263268e-05,3.922334807012215684e-05,3.747002427894044940e-05,1.888588800000000067e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.820042399999999727e-01,-3.284236475496514398e-03,-9.625152786383074643e-03,4.225599454516684294e-04,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
1.949999999999999956e+00,1.987653513725909649e-01,2.655527159883401306e-04,8.216480504894302546e-04,9.800467282073679343e-01,2.717719233280656611e-05,2.603336340870604081e-05,2.072284309807993904e-05,3.853688437692580229e-05,3.844853765653546523e-05,3.677308166436055132e-05,1.937665199999999976e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.810476700000000383e-01,-3.060604540744102462e-03,-1.033275183365894856e-02,-3.672152423077585477e-04,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
2.000000000000000000e+00,2.016247007646967404e-01,4.135364389180485462e-04,-2.294143321735638789e-04,9.794627386471750352e-01,2.713454267637689684e-05,2.595207802882257107e-05,2.074144408655486608e-05,3.779304064969455013e-05,3.770368507900197203e-05,3.610223634181610705e-05,1.986693099999999879e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.800665800000000205e-01,-2.039867472990098372e-03,-1.083717592353744368e-02,5.329524353546894215e-04,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
2.049999999999999822e+00,2.087595200850119181e-01,2.240388840898082778e-03,-1.654471446156174311e-03,9.779630392586168286e-01,2.709355371504512823e-05,2.583979075853273805e-05,2.079341684355414256e-05,3.707767003842829615e-05,3.698782610317267495e-05,3.545536967410276979e-05,2.035671400000000075e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.790609900000000199e-01,-1.703221654888388732e-03,-1.189140009375850258e-02,1.909954245882006544e-04,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
2.100000000000000089e+00,2.139024198155529966e-01,1.170909792343879669e-03,4.180263492316535229e-04,9.768542414410046337e-01,2.705403582694234683e-05,2.577220352240839206e-05,2.080288743238230118e-05,3.638915904028634557e-05,3.629843149467064568e-05,3.483195846161271522e-05,2.084598799999999863e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.780309200000000258e-01,-2.979547698742553326e-03,-1.188705912233306052e-02,-9.494104689404348017e-04,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
2.149999999999999911e+00,2.197890570859654114e-01,1.110745356381976696e-04,-1.202960640213062999e-03,9.755466728626610573e-01,2.701597818621364082e-05,2.566847915876451072e-05,2.085065405559225390e-05,3.572603879800347553e-05,3.563322979678303169e-05,3.423159950442232648e-05,2.133474099999999873e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.769763999999999671e-01,-3.189819047676240114e-03,-1.032536025223959944e-02,1.418900251602879005e-04,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
2.200000000000000178e+00,2.253128869060158079e-01,2.072073548275871224e-04,-9.225668756741896162e-04,9.742859995553406760e-01,2.697938878020936107e-05,2.556060820504068863e-05,2.090446192607210165e-05,3.508692844856323216e-05,3.499210863134513672e-05,3.365191298034174531e-05,2.182296099999999905e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.758974500000000551e-01,-2.890400098968310544e-03,-1.061083698565585577e-02,3.712715611647339877e-04,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
